name,class,mag,RA,Dec,spectrograph,Note,RA_gaia,Dec_gaia,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,G,BP,RP
EC05015-2831             ,sdOB+F      ,12.34,05:03:34.41,-28:27:17.42,CHIRON,X,75.8936340504566,-28.4547017896773,1.723,0.024,7.034,0.041,20.442,0.042,12.286,12.341,12.081
EC05053-2806             ,sdB+F       ,11.70,05:07:20.18,-28:02:25.43,CHIRON,"X, Close companion in gaia, 1.33”",76.8339321826,-28.0401626312,2.556,0.033,6.419,0.044,9.607,0.052,12.314,12.135,11.612
GALEXJ13058-3657         ,sdB+MS      ,12.23,13:05:51.37,-36:57:00.95,CHIRON,X,196.463741204979,-36.949901645111,1.689,0.060,-20.992,0.097,-5.668,0.187,12.121,12.241,11.853
GALEXJ19097-5344         ,sdB+MS      ,11.62,19:09:42.41,-53:44:16.28,CHIRON,X,287.426529944631,-53.7372900807314,1.052,0.057,-2.720,0.081,5.270,0.064,11.642,11.737,11.427
EC20117-4014             ,sdBV+F      ,12.41,20:15:04.78,-40:05:44.23,CHIRON,Brad,303.769831462212,-40.0956425836464,1.704,0.039,-20.680,0.060,-12.875,0.049,12.364,12.406,12.158
GALEXJ20209-2250         ,sdB+G0V     ,11.77,20:20:59.85,-22:50:01.33,CHIRON,X,305.248968335222,-22.8340961483176,2.720,0.088,-8.917,0.143,-6.648,0.108,11.692,11.720,11.499
BD-35357                 ,sdOB+G8III  ,9.36,22:00:36.40,-02:44:26.80,CHIRON,X,330.151908122463,-2.74084058759996,4.718,0.079,31.585,0.101,-10.142,0.100,9.111,9.662,8.441
BD-11162                 ,sdO+G       ,11.17,00:52:15.07,-10:39:46.00,HERMES,not published,13.062650017624,-10.6629441368245,2.651,0.125,-31.682,0.284,-35.115,0.193,11.083,11.026,11.057
BD+29 3070,sdB+F8,10.55,17 38 21.19,+29 08 47.35,HERMES,,264.5883027164,29.1465852823137,3.392,0.047,-5.860,0.059,22.884,0.069,10.289,10.413,10.067
Feige 87,sdB+G6,11.56,13 40 14.69,+60 52 47.55,HERMES,,205.061356803551,60.8796045332069,2.408,0.038,16.500,0.065,-63.405,0.054,11.625,11.552,11.635
EC 11031-1348,sdB+F6,11.73,11 05 41.41,-14 04 24.13,HERMES,,166.422545540905,-14.0734042794319,2.051,0.048,-4.679,0.080,-7.835,0.074,11.436,11.588,11.147
TYC 2084-448,sdB?+F6,11.69,17 36 51.18,+28 06 34.63,HERMES,,264.21338740534,28.1095800027283,2.632,0.034,24.650,0.043,-9.760,0.053,11.457,11.580,11.196
BD+34 1543,WD+F9,10.29,07 10 07.70,+34 24 53.81,HERMES,,107.532287296259,34.4146871372956,5.096,0.055,35.247,0.091,-60.655,0.074,10.041,10.161,9.823
PG 1104+243,WD+G0,11.49,11 07 26.23,+24 03 11.09,HERMES,,166.859001156228,24.0529806930552,3.649,0.082,-63.773,0.165,-23.395,0.147,11.201,11.227,11.046
TYC 3871-835,WD+F7,11.57,15 15 38.34,+56 53 43.75,HERMES,,228.909521335939,56.895496871007,2.175,0.024,-32.017,0.048,2.278,0.045,11.377,11.469,11.161
BD-7.5977,sdB+K3,11.09,23 17 46.78,-06 28 30.94,HERMES,,349.444978999215,-6.47523449695355,1.222,0.041,6.628,0.084,6.347,0.054,10.297,10.658,9.776
Feige 80,sdO+F/G     ,11.27,13 19 53.60,+12 03 58.27,HERMES,not published,199.973314248508,12.0661797306894,1.848,0.073,-8.676,0.143,-1.632,0.123,11.245,11.199,11.267
